person;step;question;difficulty;discrimination;fraction;Sim;Sim/A;Sim/A/A01;Sim/A/A02;Sim/A/A03;Sim/A/A04;Sim/A/A05;Sim/A/A06;Sim/A/A07;Sim/B;Sim/B/B01;Sim/B/B02;Sim/B/B03;Sim/B/B04;Sim/C;Sim/C/C01;Sim/C/C02;Sim/C/C03;Sim/C/C04;Sim/C/C05;Sim/C/C06;Sim/C/C07;Sim/C/C08;Sim/C/C09;Sim/C/C10
P000000;5;A02-17;"-2,54";"4,98";"0";"-3,06 (SE 0,78 bei 5 Fragen mit R/W-Rate 0)";"-3,06 (SE 0,78 bei 4 Fragen mit R/W-Rate 0)";"";"-3,06 (SE 0,78 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;6;A06-02;"-1,10";"4,59";"0";"-3,06 (SE 0,78 bei 6 Fragen mit R/W-Rate 0)";"-3,06 (SE 0,78 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"-1,78 (SE 1,05 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;7;B02-00;"-0,35";"5,94";"0";"-3,06 (SE 0,78 bei 7 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-1,02 (SE 1,2 bei 2 Fragen mit R/W-Rate 0)";"";"-1,01 (SE 1,21 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;8;B01-17;"-0,39";"4,83";"0";"-3,06 (SE 0,78 bei 8 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-1,2 (SE 1,19 bei 3 Fragen mit R/W-Rate 0)";"-1,14 (SE 1,27 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;9;A02-04;"-2,79";"4,16";"0";"-3,39 (SE 0,8 bei 9 Fragen mit R/W-Rate 0)";"-3,39 (SE 0,8 bei 6 Fragen mit R/W-Rate 0)";"";"-3,39 (SE 0,8 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;10;B01-12;"-1,17";"4,04";"0";"-3,39 (SE 0,8 bei 10 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-1,89 (SE 1,1 bei 4 Fragen mit R/W-Rate 0)";"-1,89 (SE 1,1 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim;N_scale:;10; >=10
P000000;inhere;Sim/C;pp:;-3,3915342158719;from:;Sim:;-3,3915342158719
P000000;11;A01-16;"-3,67";"4,44";"1";"-3,27 (SE 0,45 bei 11 Fragen mit R/W-Rate 0,09)";"-3,27 (SE 0,45 bei 7 Fragen mit R/W-Rate 0,14)";"-3,18 (SE 0,75 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A01;TP+TI:;11,816630383129; >=4
P000000;12;A01-19;"-2,95";"2,99";"0";"-3,39 (SE 0,39 bei 12 Fragen mit R/W-Rate 0,08)";"-3,39 (SE 0,39 bei 8 Fragen mit R/W-Rate 0,13)";"-3,31 (SE 0,47 bei 2 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;13;A01-12;"-3,62";"3,70";"0";"-3,66 (SE 0,32 bei 13 Fragen mit R/W-Rate 0,08)";"-3,66 (SE 0,32 bei 9 Fragen mit R/W-Rate 0,11)";"-3,65 (SE 0,33 bei 3 Fragen mit R/W-Rate 0,33)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;14;A01-13;"-3,91";"5,14";"1";"-3,58 (SE 0,27 bei 14 Fragen mit R/W-Rate 0,14)";"-3,58 (SE 0,27 bei 10 Fragen mit R/W-Rate 0,2)";"-3,56 (SE 0,28 bei 4 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim/A;N_scale:;10; >=10
P000000;inhere;Sim/A/A03;pp:;-3,5785418027799;from:;Sim/A:;-3,5785418027799
P000000;inhere;Sim/A/A04;pp:;-3,5785418027799;from:;Sim/A:;-3,5785418027799
P000000;inhere;Sim/A/A05;pp:;-3,5785418027799;from:;Sim/A:;-3,5785418027799
P000000;inhere;Sim/A/A07;pp:;-3,5785418027799;from:;Sim/A:;-3,5785418027799
P000000;enact;Sim/A/A03;TP+TI:;16,324156681227; >=4
P000000;15;A01-18;"-3,81";"3,67";"1";"-3,51 (SE 0,26 bei 15 Fragen mit R/W-Rate 0,2)";"-3,51 (SE 0,26 bei 11 Fragen mit R/W-Rate 0,27)";"-3,49 (SE 0,27 bei 5 Fragen mit R/W-Rate 0,6)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;16;A01-14;"-3,71";"3,42";"1";"-3,44 (SE 0,25 bei 16 Fragen mit R/W-Rate 0,25)";"-3,44 (SE 0,25 bei 12 Fragen mit R/W-Rate 0,33)";"-3,42 (SE 0,26 bei 6 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;17;A01-08;"-3,38";"1,52";"1";"-3,39 (SE 0,25 bei 17 Fragen mit R/W-Rate 0,29)";"-3,39 (SE 0,25 bei 13 Fragen mit R/W-Rate 0,38)";"-3,36 (SE 0,27 bei 7 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;18;A01-07;"-3,18";"1,01";"0";"-3,42 (SE 0,25 bei 18 Fragen mit R/W-Rate 0,28)";"-3,42 (SE 0,25 bei 14 Fragen mit R/W-Rate 0,36)";"-3,4 (SE 0,26 bei 8 Fragen mit R/W-Rate 0,63)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;19;A03-13;"-3,89";"3,68";"1";"-3,39 (SE 0,24 bei 19 Fragen mit R/W-Rate 0,32)";"-3,39 (SE 0,24 bei 15 Fragen mit R/W-Rate 0,4)";"";"";"-3,36 (SE 0,82 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;20;A03-03;"-3,69";"3,13";"1";"-3,34 (SE 0,23 bei 20 Fragen mit R/W-Rate 0,35)";"-3,34 (SE 0,23 bei 16 Fragen mit R/W-Rate 0,44)";"";"";"-3,28 (SE 0,59 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;21;A03-16;"-3,61";"2,64";"1";"-3,3 (SE 0,23 bei 21 Fragen mit R/W-Rate 0,38)";"-3,3 (SE 0,23 bei 17 Fragen mit R/W-Rate 0,47)";"";"";"-3,21 (SE 0,52 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;22;A03-19;"-3,55";"1,21";"1";"-3,27 (SE 0,23 bei 22 Fragen mit R/W-Rate 0,41)";"-3,27 (SE 0,23 bei 18 Fragen mit R/W-Rate 0,5)";"";"";"-2,96 (SE 0,64 bei 4 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;23;A02-09;"-2,49";"4,64";"0";"-3,28 (SE 0,23 bei 23 Fragen mit R/W-Rate 0,39)";"-3,28 (SE 0,23 bei 19 Fragen mit R/W-Rate 0,47)";"";"-3,31 (SE 0,62 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A02;TP+TI:;3,3476039986002; <4
P000000;24;A03-07;"-3,97";"2,16";"1";"-3,26 (SE 0,23 bei 24 Fragen mit R/W-Rate 0,42)";"-3,26 (SE 0,23 bei 20 Fragen mit R/W-Rate 0,5)";"";"";"-3,15 (SE 0,49 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;25;A01-17;"-3,67";"2,70";"1";"-3,22 (SE 0,22 bei 25 Fragen mit R/W-Rate 0,44)";"-3,22 (SE 0,22 bei 21 Fragen mit R/W-Rate 0,52)";"-3,34 (SE 0,26 bei 9 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;26;A03-09;"-4,04";"1,58";"1";"-3,21 (SE 0,22 bei 26 Fragen mit R/W-Rate 0,46)";"-3,21 (SE 0,22 bei 22 Fragen mit R/W-Rate 0,55)";"";"";"-2,93 (SE 0,57 bei 6 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A02;TP+TI:;4,1353561499407; >=4
P000000;deact;Sim/A/A03;TP+TI:;3,8568934353123; <4
P000000;27;A02-16;"-2,07";"2,70";"0";"-3,21 (SE 0,22 bei 27 Fragen mit R/W-Rate 0,44)";"-3,21 (SE 0,22 bei 23 Fragen mit R/W-Rate 0,52)";"";"-3,26 (SE 0,54 bei 6 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;28;A01-03;"-3,41";"0,71";"1";"-3,2 (SE 0,22 bei 28 Fragen mit R/W-Rate 0,46)";"-3,2 (SE 0,22 bei 24 Fragen mit R/W-Rate 0,54)";"-3,31 (SE 0,27 bei 10 Fragen mit R/W-Rate 0,7)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim/A/A01;N_scale:;10; >=10
P000000;29;A06-19;"-1,05";"1,10";"0";"-3,2 (SE 0,22 bei 29 Fragen mit R/W-Rate 0,45)";"-3,2 (SE 0,22 bei 25 Fragen mit R/W-Rate 0,52)";"";"";"";"";"";"-3,21 (SE 3,23 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;30;A06-12;"-1,25";"1,86";"0";"-3,2 (SE 0,22 bei 30 Fragen mit R/W-Rate 0,43)";"-3,2 (SE 0,22 bei 26 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";"-3,21 (SE 2,35 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;31;A06-16;"-1,01";"1,35";"0";"-3,21 (SE 0,22 bei 31 Fragen mit R/W-Rate 0,42)";"-3,21 (SE 0,22 bei 27 Fragen mit R/W-Rate 0,48)";"";"";"";"";"";"-3,22 (SE 1,95 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A06;TP+TI:;0,51698379317814; <4
P000000;32;B01-05;"-1,11";"2,03";"0";"-3,21 (SE 0,22 bei 32 Fragen mit R/W-Rate 0,41)";"";"";"";"";"";"";"";"";"-3,21 (SE 4,05 bei 5 Fragen mit R/W-Rate 0)";"-3,21 (SE 4,05 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/B;TP+TI:;0,21404642245439; <4
P000000;33;B01-16;"-0,16";"1,04";"0";"-3,21 (SE 0,22 bei 33 Fragen mit R/W-Rate 0,39)";"";"";"";"";"";"";"";"";"-3,21 (SE 3,13 bei 6 Fragen mit R/W-Rate 0)";"-3,21 (SE 3,13 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/B/B01;TP+TI:;0,21739384715216; <4
P000000;34;A02-06;"-1,99";"1,31";"0";"-3,22 (SE 0,22 bei 34 Fragen mit R/W-Rate 0,38)";"-3,22 (SE 0,22 bei 28 Fragen mit R/W-Rate 0,46)";"";"-3,27 (SE 0,53 bei 7 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A02;TP+TI:;3,8680806188745; <4
P000000;end;kein Item übrig
P000000;RESULT;;;;pp;-3,22;-3,22;-3,31;-3,27;-2,93;"";"";-3,23;"";-3,22;-3,22;-3,22;"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;se;0,22;0,22;0,27;0,53;0,57;"";"";1,96;"";3,16;3,16;846,67;"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;frac;0,38;0,46;0,7;0;1;"";"";0;"";0;0;0;"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;N;34;28;10;7;6;"";"";5;"";6;5;1;"";"";"";"";"";"";"";"";"";"";"";"";""

P000001
P000001;1;B01-18;"0,05";"5,95";"1";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000001;enact;Sim/B;TP+TI:;41,110175452158; >=4
P000001;enact;Sim/B/B01;TP+TI:;14,256090342932; >=4
P000001;2;B03-10;"0,68";"5,75";"1";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"1,31 (SE 1,1 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
P000001;enact;Sim/B/B03;TP+TI:;31,968214676712; >=4
P000001;3;B03-06;"1,34";"5,94";"1";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"1,9 (SE 0,91 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
P000001;4;B02-12;"2,06";"5,24";"1";"2,6 (SE 0,83 bei 4 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"2,6 (SE 0,83 bei 4 Fragen mit R/W-Rate 1)";"";"2,6 (SE 0,83 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";""
P000001;enact;Sim/B/B02;TP+TI:;8,0092228024158; >=4
P000001;5;B02-07;"2,61";"4,31";"1";"3,18 (SE 0,83 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"3,18 (SE 0,83 bei 5 Fragen mit R/W-Rate 1)";"";"3,18 (SE 0,83 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";""
P000001;6;C10-09;"3,16";"5,89";"1";"3,63 (SE 0,67 bei 6 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,6 (SE 0,67 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"3,6 (SE 0,67 bei 1 Fragen mit R/W-Rate 1)"
P000001;enact;Sim/C;TP+TI:;61,95654093146; >=4
P000001;enact;Sim/C/C10;TP+TI:;41,749225039963; >=4
P000001;7;C06-14;"3,69";"5,49";"1";"4,13 (SE 0,65 bei 7 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,13 (SE 0,65 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"4,12 (SE 0,65 bei 1 Fragen mit R/W-Rate 1)";"";"";"";""
P000001;enact;Sim/C/C06;TP+TI:;56,812123105838; >=4
P000001;8;C06-04;"4,11";"5,90";"1";"4,53 (SE 0,6 bei 8 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,53 (SE 0,6 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"4,53 (SE 0,6 bei 2 Fragen mit R/W-Rate 1)";"";"";"";""
P000001;9;C10-12;"3,53";"5,67";"1";"4,54 (SE 0,6 bei 9 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,54 (SE 0,6 bei 4 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"3,98 (SE 0,65 bei 2 Fragen mit R/W-Rate 1)"
P000001;10;C09-16;"4,54";"5,87";"1";"4,94 (SE 0,58 bei 10 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,94 (SE 0,58 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"4,92 (SE 0,58 bei 1 Fragen mit R/W-Rate 1)";""
P000001;drop;Sim;N_scale:;10; >=10
P000001;inhere;Sim/A;pp:;4,9419052015107;from:;Sim:;4,9419052015107
P000001;enact;Sim/C/C09;TP+TI:;23,754204669252; >=4
P000001;11;C08-16;"5,00";"6,00";"0";"4,78 (SE 0,29 bei 11 Fragen mit R/W-Rate 0,91)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,78 (SE 0,29 bei 6 Fragen mit R/W-Rate 0,83)";"";"";"";"";"";"";"";"4,71 (SE 0,47 bei 1 Fragen mit R/W-Rate 0)";"";""
P000001;deact;Sim/B;TP+TI:;0,84124588448734; <4
P000001;enact;Sim/C/C08;TP+TI:;46,473630349681; >=4
P000001;12;C08-12;"4,76";"5,70";"0";"4,63 (SE 0,22 bei 12 Fragen mit R/W-Rate 0,83)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,63 (SE 0,22 bei 7 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"";"";"4,55 (SE 0,36 bei 2 Fragen mit R/W-Rate 0)";"";""
P000001;13;C08-03;"4,43";"5,33";"1";"4,69 (SE 0,2 bei 13 Fragen mit R/W-Rate 0,85)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,69 (SE 0,2 bei 8 Fragen mit R/W-Rate 0,75)";"";"";"";"";"";"";"";"4,56 (SE 0,26 bei 3 Fragen mit R/W-Rate 0,33)";"";""
P000001;drop;Sim/C;se_scale:;0,20012169696178; <=0,25;delta (pp):0,053534373770694; <=0,1
P000001;inhere;Sim/C/C01;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;inhere;Sim/C/C02;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;inhere;Sim/C/C03;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;inhere;Sim/C/C04;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;inhere;Sim/C/C05;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;inhere;Sim/C/C07;pp:;4,6862881276352;from:;Sim/C:;4,6862881276352
P000001;enact;Sim/C/C04;TP+TI:;11,142089003597; >=4
P000001;enact;Sim/C/C07;TP+TI:;4,0221294785516; >=4
P000001;14;C08-00;"4,46";"5,18";"0";"4,56 (SE 0,18 bei 14 Fragen mit R/W-Rate 0,79)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,56 (SE 0,18 bei 9 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"4,39 (SE 0,24 bei 4 Fragen mit R/W-Rate 0,25)";"";""
P000001;15;C09-01;"4,58";"4,55";"0";"4,5 (SE 0,16 bei 15 Fragen mit R/W-Rate 0,73)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,5 (SE 0,16 bei 10 Fragen mit R/W-Rate 0,6)";"";"";"";"";"";"";"";"";"4,6 (SE 0,27 bei 2 Fragen mit R/W-Rate 0,5)";""
P000001;16;C09-10;"4,46";"5,58";"1";"4,56 (SE 0,15 bei 16 Fragen mit R/W-Rate 0,75)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,56 (SE 0,15 bei 11 Fragen mit R/W-Rate 0,64)";"";"";"";"";"";"";"";"";"4,7 (SE 0,24 bei 3 Fragen mit R/W-Rate 0,67)";""
P000001;drop;Sim/C/C09;se_scale:;0,24206806565125; <=0,25;delta (pp):0,092391490539835; <=0,1
P000001;17;C08-04;"4,07";"3,81";"1";"4,57 (SE 0,15 bei 17 Fragen mit R/W-Rate 0,76)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,57 (SE 0,15 bei 12 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"4,43 (SE 0,22 bei 5 Fragen mit R/W-Rate 0,4)";"";""
P000001;drop;Sim/C/C08;se_scale:;0,21801535683646; <=0,25;delta (pp):0,041762622495686; <=0,1
P000001;18;C06-10;"4,14";"3,58";"1";"4,58 (SE 0,15 bei 18 Fragen mit R/W-Rate 0,78)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,58 (SE 0,15 bei 13 Fragen mit R/W-Rate 0,69)";"";"";"";"";"";"4,6 (SE 0,52 bei 3 Fragen mit R/W-Rate 1)";"";"";"";""
P000001;19;C06-07;"4,09";"5,16";"1";"4,59 (SE 0,14 bei 19 Fragen mit R/W-Rate 0,79)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,59 (SE 0,14 bei 14 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"4,61 (SE 0,44 bei 4 Fragen mit R/W-Rate 1)";"";"";"";""
P000001;20;C04-00;"4,44";"4,72";"0";"4,53 (SE 0,13 bei 20 Fragen mit R/W-Rate 0,75)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,53 (SE 0,13 bei 15 Fragen mit R/W-Rate 0,67)";"";"";"";"4,48 (SE 0,43 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";""
P000001;21;C04-15;"4,58";"3,54";"0";"4,5 (SE 0,13 bei 21 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,5 (SE 0,13 bei 16 Fragen mit R/W-Rate 0,63)";"";"";"";"4,44 (SE 0,34 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";""
P000001;22;C04-04;"4,01";"2,48";"1";"4,51 (SE 0,13 bei 22 Fragen mit R/W-Rate 0,73)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,51 (SE 0,13 bei 17 Fragen mit R/W-Rate 0,65)";"";"";"";"4,06 (SE 0,42 bei 3 Fragen mit R/W-Rate 0,33)";"";"";"";"";"";""
P000001;23;C04-17;"3,75";"5,30";"1";"4,51 (SE 0,13 bei 23 Fragen mit R/W-Rate 0,74)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,51 (SE 0,13 bei 18 Fragen mit R/W-Rate 0,67)";"";"";"";"4,15 (SE 0,32 bei 4 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";""
P000001;24;C04-16;"3,81";"2,94";"1";"4,52 (SE 0,13 bei 24 Fragen mit R/W-Rate 0,75)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,52 (SE 0,13 bei 19 Fragen mit R/W-Rate 0,68)";"";"";"";"4,22 (SE 0,3 bei 5 Fragen mit R/W-Rate 0,6)";"";"";"";"";"";""
P000001;25;C04-14;"4,08";"1,97";"1";"4,53 (SE 0,13 bei 25 Fragen mit R/W-Rate 0,76)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,53 (SE 0,13 bei 20 Fragen mit R/W-Rate 0,7)";"";"";"";"4,29 (SE 0,28 bei 6 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";""
P000001;26;C04-18;"4,03";"1,97";"0";"4,51 (SE 0,13 bei 26 Fragen mit R/W-Rate 0,73)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,51 (SE 0,13 bei 21 Fragen mit R/W-Rate 0,67)";"";"";"";"4,2 (SE 0,27 bei 7 Fragen mit R/W-Rate 0,57)";"";"";"";"";"";""
P000001;27;C06-03;"4,11";"2,78";"1";"4,52 (SE 0,12 bei 27 Fragen mit R/W-Rate 0,74)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,52 (SE 0,12 bei 22 Fragen mit R/W-Rate 0,68)";"";"";"";"";"";"4,55 (SE 0,36 bei 5 Fragen mit R/W-Rate 1)";"";"";"";""
P000001;28;C04-02;"4,02";"1,84";"1";"4,53 (SE 0,12 bei 28 Fragen mit R/W-Rate 0,75)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,53 (SE 0,12 bei 23 Fragen mit R/W-Rate 0,7)";"";"";"";"4,25 (SE 0,27 bei 8 Fragen mit R/W-Rate 0,63)";"";"";"";"";"";""
P000001;29;C10-08;"4,25";"3,88";"1";"4,54 (SE 0,12 bei 29 Fragen mit R/W-Rate 0,76)";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,54 (SE 0,12 bei 24 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"";"";"";"";"4,55 (SE 0,6 bei 3 Fragen mit R/W-Rate 1)"
