componentid,componentname,contextid,status,qtype,model,difficulty,discrimination,guessing,label,catscalename,parentscalenames
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.67,0.38,0.00,SIMV2-A02-09,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.52,1.31,0.00,SIMV2-A02-10,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.44,0.97,0.00,SIMV2-A02-11,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.46,0.65,0.00,SIMV2-A02-12,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.22,0.6,0.00,SIMV2-A02-13,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.4,0.75,0.00,SIMV2-A02-14,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.34,1.64,0.00,SIMV2-A02-15,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.7,1.04,0.00,SIMV2-A02-16,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.87,1.38,0.00,SIMV2-A03-00,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.57,1.33,0.00,SIMV2-A03-01,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.48,0.28,0.00,SIMV2-A03-02,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.88,1.58,0.00,SIMV2-A03-03,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.05,1.21,0.00,SIMV2-A03-04,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.7,1.12,0.00,SIMV2-A03-05,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.3,0.24,0.00,SIMV2-A03-06,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.42,0.33,0.00,SIMV2-A03-07,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.19,0.85,0.00,SIMV2-A03-08,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.44,1.4,0.00,SIMV2-A03-09,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.64,0.62,0.00,SIMV2-A03-10,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.95,1.22,0.00,SIMV2-A03-11,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.53,0.91,0.00,SIMV2-A03-12,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.76,1.35,0.00,SIMV2-A03-13,SimA03,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.05,0.98,0.00,SIMV2-A04-00,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.66,0.34,0.00,SIMV2-A04-01,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.13,0.54,0.00,SIMV2-A04-02,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.82,0.3,0.00,SIMV2-A04-03,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.87,1.76,0.00,SIMV2-A04-04,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.65,1.34,0.00,SIMV2-A04-05,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.89,1.43,0.00,SIMV2-A04-06,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3,1.54,0.00,SIMV2-A04-07,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.09,0.56,0.00,SIMV2-A04-08,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.7,0.56,0.00,SIMV2-A04-09,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.78,1.49,0.00,SIMV2-A04-10,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.29,1.16,0.00,SIMV2-A04-11,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.5,0.55,0.00,SIMV2-A04-12,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.31,0.86,0.00,SIMV2-A04-13,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.07,1.47,0.00,SIMV2-A04-14,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.87,1.84,0.00,SIMV2-A04-15,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.69,0.42,0.00,SIMV2-A04-16,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.96,0.34,0.00,SIMV2-A04-17,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.86,0.35,0.00,SIMV2-A04-18,SimA04,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.77,1.4,0.00,SIMV2-A05-00,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.77,1.05,0.00,SIMV2-A05-01,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.99,1.7,0.00,SIMV2-A05-02,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.36,1.64,0.00,SIMV2-A05-03,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.85,1.29,0.00,SIMV2-A05-04,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.88,1.46,0.00,SIMV2-A05-05,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.62,1.79,0.00,SIMV2-A05-06,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.07,0.24,0.00,SIMV2-A05-07,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.64,0.58,0.00,SIMV2-A05-08,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.41,1.42,0.00,SIMV2-A05-09,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.43,1.14,0.00,SIMV2-A05-10,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.53,1.6,0.00,SIMV2-A05-11,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.42,0.99,0.00,SIMV2-A05-12,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.69,0.63,0.00,SIMV2-A05-13,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.27,1.27,0.00,SIMV2-A05-14,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.84,1.11,0.00,SIMV2-A05-15,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.72,1.64,0.00,SIMV2-A05-16,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.45,1.66,0.00,SIMV2-A05-17,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.6,0.64,0.00,SIMV2-A05-18,SimA05,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.85,0.9,0.00,SIMV2-A06-00,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.15,1.05,0.00,SIMV2-A06-01,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.93,0.24,0.00,SIMV2-A06-02,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.91,0.47,0.00,SIMV2-A06-03,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.1,0.73,0.00,SIMV2-A06-04,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.27,1.66,0.00,SIMV2-A06-05,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.5,1.97,0.00,SIMV2-A06-06,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.81,0.21,0.00,SIMV2-A06-07,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.56,1.3,0.00,SIMV2-A06-08,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.53,0.56,0.00,SIMV2-A06-09,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.06,0.38,0.00,SIMV2-A06-10,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.23,1.64,0.00,SIMV2-A06-11,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.3,1.39,0.00,SIMV2-A06-12,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.19,0.67,0.00,SIMV2-A06-13,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.87,0.63,0.00,SIMV2-A06-14,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.06,0.64,0.00,SIMV2-A06-15,SimA06,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.63,0.94,0.00,SIMV2-A07-00,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.72,1.32,0.00,SIMV2-A07-01,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.39,0.32,0.00,SIMV2-A07-02,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.25,0.39,0.00,SIMV2-A07-03,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.39,1.51,0.00,SIMV2-A07-04,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.83,1.78,0.00,SIMV2-A07-05,SimA07,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.88,0.84,0.00,SIMV2-A08-00,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.86,1.3,0.00,SIMV2-A08-01,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.6,0.63,0.00,SIMV2-A08-02,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.86,0.28,0.00,SIMV2-A08-03,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.76,0.32,0.00,SIMV2-A08-04,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.77,1.16,0.00,SIMV2-A08-05,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.27,0.53,0.00,SIMV2-A08-06,SimA08,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.51,1.27,0.00,SIMV2-A09-00,SimA09,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.99,1.21,0.00,SIMV2-A09-01,SimA09,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.11,1.25,0.00,SIMV2-A09-02,SimA09,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-2.04,0.67,0.00,SIMV2-A09-03,SimA09,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.27,0.81,0.00,SIMV2-A09-04,SimA09,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.5,0.84,0.00,SIMV2-A10-00,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.75,1.54,0.00,SIMV2-A10-01,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.94,1.25,0.00,SIMV2-A10-02,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.9,0.96,0.00,SIMV2-A10-03,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.76,0.57,0.00,SIMV2-A10-04,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.11,0.78,0.00,SIMV2-A10-05,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.12,1.87,0.00,SIMV2-A10-06,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.28,1.2,0.00,SIMV2-A10-07,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.05,1.61,0.00,SIMV2-A10-08,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.61,1.27,0.00,SIMV2-A10-09,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.23,1.36,0.00,SIMV2-A10-10,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.1,1.99,0.00,SIMV2-A10-11,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.18,1.95,0.00,SIMV2-A10-12,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.35,0.75,0.00,SIMV2-A10-13,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.44,1.41,0.00,SIMV2-A10-14,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.8,1.71,0.00,SIMV2-A10-15,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.13,0.95,0.00,SIMV2-A10-16,SimA10,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.12,1.85,0.00,SIMV2-A11-00,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.87,1.61,0.00,SIMV2-A11-01,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.45,0.31,0.00,SIMV2-A11-02,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.03,1.46,0.00,SIMV2-A11-03,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.06,1.03,0.00,SIMV2-A11-04,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.62,0.49,0.00,SIMV2-A11-05,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.26,0.53,0.00,SIMV2-A11-06,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.72,0.86,0.00,SIMV2-A11-07,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.55,1.34,0.00,SIMV2-A11-08,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.41,0.99,0.00,SIMV2-A11-09,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.52,0.99,0.00,SIMV2-A11-10,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.15,0.32,0.00,SIMV2-A11-11,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.82,1.63,0.00,SIMV2-A11-12,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.42,0.76,0.00,SIMV2-A11-13,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.91,1.36,0.00,SIMV2-A11-14,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.65,1.28,0.00,SIMV2-A11-15,SimA11,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.78,1.51,0.00,SIMV2-A12-00,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.75,0.35,0.00,SIMV2-A12-01,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.24,0.65,0.00,SIMV2-A12-02,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.36,0.49,0.00,SIMV2-A12-03,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.51,1.57,0.00,SIMV2-A12-04,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.85,1.31,0.00,SIMV2-A12-05,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.71,1.8,0.00,SIMV2-A12-06,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.51,1.79,0.00,SIMV2-A12-07,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.54,1.01,0.00,SIMV2-A12-08,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.03,0.69,0.00,SIMV2-A12-09,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.08,1.6,0.00,SIMV2-A12-10,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.72,1.31,0.00,SIMV2-A12-11,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.58,0.99,0.00,SIMV2-A12-12,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.31,0.74,0.00,SIMV2-A12-13,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.51,0.34,0.00,SIMV2-A12-14,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.57,0.77,0.00,SIMV2-A12-15,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.54,1.81,0.00,SIMV2-A12-16,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.34,1.77,0.00,SIMV2-A12-17,SimA12,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.31,1.77,0.00,SIMV2-A13-00,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.53,0.84,0.00,SIMV2-A13-01,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.57,0.91,0.00,SIMV2-A13-02,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.67,1.47,0.00,SIMV2-A13-03,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.93,0.21,0.00,SIMV2-A13-04,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.57,1.58,0.00,SIMV2-A13-05,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.16,0.25,0.00,SIMV2-A13-06,SimA13,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.48,1.27,0.00,SIMV2-B01-00,SimB01,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.54,0.64,0.00,SIMV2-B01-01,SimB01,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.36,1.03,0.00,SIMV2-B01-02,SimB01,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.37,0.98,0.00,SIMV2-B01-03,SimB01,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.63,0.71,0.00,SIMV2-B01-04,SimB01,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.16,1.74,0.00,SIMV2-B02-00,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.86,1.52,0.00,SIMV2-B02-01,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.79,1.4,0.00,SIMV2-B02-02,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.61,0.89,0.00,SIMV2-B02-03,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.32,0.5,0.00,SIMV2-B02-04,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.21,0.88,0.00,SIMV2-B02-05,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-1.9,0.47,0.00,SIMV2-B02-06,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.28,1.67,0.00,SIMV2-B02-07,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.02,0.92,0.00,SIMV2-B02-08,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.63,1.72,0.00,SIMV2-B02-09,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.53,0.39,0.00,SIMV2-B02-10,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.65,1.04,0.00,SIMV2-B02-11,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.94,1.38,0.00,SIMV2-B02-12,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.03,1.18,0.00,SIMV2-B02-13,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.14,1.12,0.00,SIMV2-B02-14,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.79,1.69,0.00,SIMV2-B02-15,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.35,1.69,0.00,SIMV2-B02-16,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,-0.21,0.63,0.00,SIMV2-B02-17,SimB02,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.22,0.21,0.00,SIMV2-B03-00,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.24,0.93,0.00,SIMV2-B03-01,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.15,1.55,0.00,SIMV2-B03-02,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.22,0.77,0.00,SIMV2-B03-03,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.42,1.76,0.00,SIMV2-B03-04,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.1,1.12,0.00,SIMV2-B03-05,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.72,0.73,0.00,SIMV2-B03-06,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1,0.56,0.00,SIMV2-B03-07,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.04,1.01,0.00,SIMV2-B03-08,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.12,1.58,0.00,SIMV2-B03-09,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,0.92,0.77,0.00,SIMV2-B03-10,SimB03,SimV2|SimB
0,question,1,4,Multiple-Choice,raschbirnbaumb,1.28,0.43,0.00,SIMV2-B03-11,SimB03,SimV2|SimB
